site,date,treatment,plant,leaf,variable,value
hawley,1999-06-15,1,13,1,headcap,0
hawley,1999-06-15,1,13,1,Metriocnemus,0
hawley,1999-06-15,1,13,1,other,0
hawley,1999-06-15,1,13,1,rotvol ml,0.5
hawley,1999-06-15,1,13,1,Sarraceniopus,0
hawley,1999-06-15,1,13,1,volume ml,1
hawley,1999-06-15,1,13,1,Wyeomyia,0
hawley,1999-06-15,4,16,1,Fletcherimyia,1
hawley,1999-06-15,4,16,1,Habrotrocha,0
hawley,1999-06-15,4,16,1,Metriocnemus,0
hawley,1999-06-15,4,16,1,other,0
hawley,1999-06-15,4,16,1,rotvol ml,0.5
hawley,1999-06-15,4,16,1,Sarraceniopus,1
hawley,1999-06-15,4,16,1,volume ml,3
hawley,1999-06-15,4,16,1,Wyeomyia,0
hawley,1999-06-15,1,17,1,Fletcherimyia,1
hawley,1999-06-15,1,17,1,Habrotrocha,0
hawley,1999-06-15,1,17,1,headcap,0
hawley,1999-06-15,1,17,1,Metriocnemus,1
hawley,1999-06-15,1,17,1,other,0
hawley,1999-06-15,1,17,1,rotvol ml,0.5
hawley,1999-06-15,1,17,1,Sarraceniopus,0
hawley,1999-06-15,1,17,1,volume ml,3
hawley,1999-06-15,1,17,1,Wyeomyia,0
hawley,1999-06-15,4,20,1,Fletcherimyia,0
hawley,1999-06-15,4,20,1,Habrotrocha,1
hawley,1999-06-15,4,20,1,headcap,1
hawley,1999-06-15,4,20,1,Metriocnemus,0
hawley,1999-06-15,4,20,1,other,0
hawley,1999-06-15,4,20,1,rotvol ml,0.5
hawley,1999-06-15,4,20,1,Sarraceniopus,0
hawley,1999-06-15,4,20,1,volume ml,2
hawley,1999-06-15,4,20,1,Wyeomyia,0
hawley,1999-06-15,1,21,1,Fletcherimyia,0
hawley,1999-06-15,1,21,1,Habrotrocha,0
hawley,1999-06-15,1,21,1,headcap,0
hawley,1999-06-15,1,21,1,Metriocnemus,1
hawley,1999-06-15,1,21,1,other,0
hawley,1999-06-15,1,21,1,rotvol ml,0.5
hawley,1999-06-15,1,21,1,Sarraceniopus,0
hawley,1999-06-15,1,21,1,volume ml,1
hawley,1999-06-15,1,21,1,Wyeomyia,0
hawley,1999-06-15,4,24,1,Fletcherimyia,0
hawley,1999-06-15,4,24,1,Habrotrocha,0
hawley,1999-06-15,4,24,1,headcap,0
hawley,1999-06-15,4,24,1,Metriocnemus,0
hawley,1999-06-15,4,24,1,other,0
hawley,1999-06-15,4,24,1,rotvol ml,0.5
hawley,1999-06-15,4,24,1,Sarraceniopus,0
hawley,1999-06-15,4,24,1,volume ml,3
hawley,1999-06-15,4,24,1,Wyeomyia,0
hawley,1999-06-15,1,25,1,Fletcherimyia,1
hawley,1999-06-15,1,25,1,Habrotrocha,0
hawley,1999-06-15,1,25,1,headcap,0
hawley,1999-06-15,1,25,1,Metriocnemus,0
hawley,1999-06-15,1,25,1,other,0
hawley,1999-06-15,1,25,1,rotvol ml,0.5
hawley,1999-06-15,1,25,1,Sarraceniopus,0
hawley,1999-06-15,1,25,1,volume ml,2
hawley,1999-06-15,1,25,1,Wyeomyia,0
hawley,1999-06-15,4,28,1,Fletcherimyia,1
hawley,1999-06-15,4,28,1,Habrotrocha,0
hawley,1999-06-15,4,28,1,headcap,4
hawley,1999-06-15,4,28,1,Metriocnemus,0
hawley,1999-06-15,4,28,1,other,0
hawley,1999-06-15,4,28,1,rotvol ml,0.5
hawley,1999-06-15,4,28,1,Sarraceniopus,0
hawley,1999-06-15,4,28,1,volume ml,2
hawley,1999-06-15,4,28,1,Wyeomyia,0
hawley,1999-06-15,1,29,1,Fletcherimyia,0
hawley,1999-06-15,1,29,1,Habrotrocha,0
hawley,1999-06-15,1,29,1,headcap,1
hawley,1999-06-15,1,29,1,Metriocnemus,0
hawley,1999-06-15,1,29,1,other,1
hawley,1999-06-15,1,29,1,rotvol ml,0.5
hawley,1999-06-15,1,29,1,Sarraceniopus,0
hawley,1999-06-15,1,29,1,volume ml,3
hawley,1999-06-15,1,29,1,Wyeomyia,0
hawley,1999-06-15,4,32,1,Fletcherimyia,1
hawley,1999-06-15,4,32,1,Habrotrocha,0
hawley,1999-06-15,4,32,1,headcap,0
hawley,1999-06-15,4,32,1,Metriocnemus,0
hawley,1999-06-15,4,32,1,other,0
hawley,1999-06-15,4,32,1,rotvol ml,0.5
hawley,1999-06-15,4,32,1,Sarraceniopus,0
hawley,1999-06-15,4,32,1,volume ml,2
hawley,1999-06-15,4,32,1,Wyeomyia,0
hawley,1999-06-15,1,33,1,volume ml,0
hawley,1999-06-15,4,36,1,Fletcherimyia,0
hawley,1999-06-15,4,36,1,Habrotrocha,0
hawley,1999-06-15,4,36,1,headcap,2
hawley,1999-06-15,4,36,1,Metriocnemus,0
hawley,1999-06-15,4,36,1,other,0
hawley,1999-06-15,4,36,1,rotvol ml,0.5
hawley,1999-06-15,4,36,1,Sarraceniopus,1
hawley,1999-06-15,4,36,1,volume ml,2
hawley,1999-06-15,4,36,1,Wyeomyia,0
hawley,1999-06-15,4,40,1,Fletcherimyia,1
hawley,1999-06-15,4,40,1,Habrotrocha,0
hawley,1999-06-15,4,40,1,headcap,1
hawley,1999-06-15,4,40,1,Metriocnemus,0
hawley,1999-06-15,4,40,1,other,0
hawley,1999-06-15,4,40,1,rotvol ml,0.5
hawley,1999-06-15,4,40,1,Sarraceniopus,0
hawley,1999-06-15,4,40,1,volume ml,3
hawley,1999-06-15,4,40,1,Wyeomyia,0
hawley,1999-06-15,1,41,1,Fletcherimyia,0
hawley,1999-06-15,1,41,1,Habrotrocha,0
hawley,1999-06-15,1,41,1,headcap,0
hawley,1999-06-15,1,41,1,Metriocnemus,0
hawley,1999-06-15,1,41,1,other,0
hawley,1999-06-15,1,41,1,rotvol ml,0.5
hawley,1999-06-15,1,41,1,Sarraceniopus,2
hawley,1999-06-15,1,41,1,volume ml,0.3
hawley,1999-06-15,1,41,1,Wyeomyia,0
hawley,1999-06-15,1,45,1,Fletcherimyia,1
hawley,1999-06-15,1,45,1,Habrotrocha,0
hawley,1999-06-15,1,45,1,headcap,2
hawley,1999-06-15,1,45,1,Metriocnemus,0
hawley,1999-06-15,1,45,1,other,0
hawley,1999-06-15,1,45,1,rotvol ml,0.5
hawley,1999-06-15,1,45,1,Sarraceniopus,0
hawley,1999-06-15,1,45,1,volume ml,2
hawley,1999-06-15,1,45,1,Wyeomyia,0
hawley,1999-06-15,1,49,1,Fletcherimyia,0
hawley,1999-06-15,1,49,1,Habrotrocha,2
hawley,1999-06-15,1,49,1,headcap,0
hawley,1999-06-15,1,49,1,Metriocnemus,0
hawley,1999-06-15,1,49,1,other,0
hawley,1999-06-15,1,49,1,rotvol ml,0.5
hawley,1999-06-15,1,49,1,Sarraceniopus,0
hawley,1999-06-15,1,49,1,volume ml,3
hawley,1999-06-15,1,49,1,Wyeomyia,0
hawley,1999-06-15,4,52,1,Fletcherimyia,1
hawley,1999-06-15,4,52,1,Habrotrocha,0
hawley,1999-06-15,4,52,1,headcap,3
hawley,1999-06-15,4,52,1,Metriocnemus,1
hawley,1999-06-15,4,52,1,other,0
hawley,1999-06-15,4,52,1,rotvol ml,0.5
hawley,1999-06-15,4,52,1,Sarraceniopus,2
hawley,1999-06-15,4,52,1,volume ml,3
hawley,1999-06-15,4,52,1,Wyeomyia,0
hawley,1999-06-15,4,56,1,Fletcherimyia,1
hawley,1999-06-15,4,56,1,Habrotrocha,0
hawley,1999-06-15,4,56,1,headcap,1
hawley,1999-06-15,4,56,1,Metriocnemus,0
hawley,1999-06-15,4,56,1,other,0
hawley,1999-06-15,4,56,1,rotvol ml,0.5
hawley,1999-06-15,4,56,1,Sarraceniopus,1
hawley,1999-06-15,4,56,1,volume ml,3
hawley,1999-06-15,4,56,1,Wyeomyia,0
hawley,1999-06-15,1,57,1,Fletcherimyia,1
hawley,1999-06-15,1,57,1,Habrotrocha,0
hawley,1999-06-15,1,57,1,headcap,0
hawley,1999-06-15,1,57,1,Metriocnemus,0
hawley,1999-06-15,1,57,1,other,0
hawley,1999-06-15,1,57,1,rotvol ml,0.5
hawley,1999-06-15,1,57,1,Sarraceniopus,0
hawley,1999-06-15,1,57,1,volume ml,2.5
hawley,1999-06-15,1,57,1,Wyeomyia,0
hawley,1999-06-15,1,61,1,Fletcherimyia,0
hawley,1999-06-15,1,61,1,Habrotrocha,0
hawley,1999-06-15,1,61,1,headcap,0
hawley,1999-06-15,1,61,1,Metriocnemus,0
hawley,1999-06-15,1,61,1,other,0
hawley,1999-06-15,1,61,1,rotvol ml,0.5
hawley,1999-06-15,1,61,1,Sarraceniopus,0
hawley,1999-06-15,1,61,1,volume ml,3
hawley,1999-06-15,1,61,1,Wyeomyia,0
hawley,1999-06-15,4,64,1,Fletcherimyia,1
hawley,1999-06-15,4,64,1,Habrotrocha,96
hawley,1999-06-15,4,64,1,headcap,2
hawley,1999-06-15,4,64,1,Metriocnemus,0
hawley,1999-06-15,4,64,1,other,0
hawley,1999-06-15,4,64,1,rotvol ml,0.5
hawley,1999-06-15,4,64,1,Sarraceniopus,0
hawley,1999-06-15,4,64,1,volume ml,2
hawley,1999-06-15,4,64,1,Wyeomyia,0
hawley,1999-06-15,4,68,1,Fletcherimyia,0
hawley,1999-06-15,4,68,1,Habrotrocha,36
hawley,1999-06-15,4,68,1,headcap,2
hawley,1999-06-15,4,68,1,Metriocnemus,0
hawley,1999-06-15,4,68,1,other,1
hawley,1999-06-15,4,68,1,rotvol ml,0.5
hawley,1999-06-15,4,68,1,Sarraceniopus,0
hawley,1999-06-15,4,68,1,volume ml,3
hawley,1999-06-15,4,68,1,Wyeomyia,0
hawley,1999-06-15,1,69,1,Fletcherimyia,1
hawley,1999-06-15,1,69,1,Habrotrocha,26
hawley,1999-06-15,1,69,1,headcap,0
hawley,1999-06-15,1,69,1,Metriocnemus,0
hawley,1999-06-15,1,69,1,other,0
hawley,1999-06-15,1,69,1,rotvol ml,0.5
hawley,1999-06-15,1,69,1,Sarraceniopus,0
hawley,1999-06-15,1,69,1,volume ml,2
hawley,1999-06-15,1,69,1,Wyeomyia,1
hawley,1999-06-15,4,72,1,Fletcherimyia,0
hawley,1999-06-15,4,72,1,Habrotrocha,1
hawley,1999-06-15,4,72,1,headcap,3
hawley,1999-06-15,4,72,1,Metriocnemus,0
hawley,1999-06-15,4,72,1,other,0
hawley,1999-06-15,4,72,1,rotvol ml,0.5
hawley,1999-06-15,4,72,1,Sarraceniopus,0
hawley,1999-06-15,4,72,1,volume ml,2
hawley,1999-06-15,4,72,1,Wyeomyia,0
hawley,1999-06-15,1,73,1,Fletcherimyia,1
hawley,1999-06-15,1,73,1,Habrotrocha,3
hawley,1999-06-15,1,73,1,headcap,0
hawley,1999-06-15,1,73,1,Metriocnemus,1
hawley,1999-06-15,1,73,1,other,0
hawley,1999-06-15,1,73,1,rotvol ml,0.5
hawley,1999-06-15,1,73,1,Sarraceniopus,0
hawley,1999-06-15,1,73,1,volume ml,1
hawley,1999-06-15,1,73,1,Wyeomyia,0
hawley,1999-06-15,4,76,1,Fletcherimyia,0
hawley,1999-06-15,4,76,1,Habrotrocha,2
hawley,1999-06-15,4,76,1,headcap,2
hawley,1999-06-15,4,76,1,Metriocnemus,0
hawley,1999-06-15,4,76,1,other,0
hawley,1999-06-15,4,76,1,rotvol ml,0.5
hawley,1999-06-15,4,76,1,Sarraceniopus,3
hawley,1999-06-15,4,76,1,volume ml,2
hawley,1999-06-15,4,76,1,Wyeomyia,0
hawley,1999-06-15,1,77,1,Fletcherimyia,1
hawley,1999-06-15,1,77,1,Habrotrocha,0
hawley,1999-06-15,1,77,1,headcap,0
hawley,1999-06-15,1,77,1,Metriocnemus,1
hawley,1999-06-15,1,77,1,other,0
hawley,1999-06-15,1,77,1,rotvol ml,0.5
hawley,1999-06-15,1,77,1,Sarraceniopus,1
hawley,1999-06-15,1,77,1,volume ml,2
hawley,1999-06-15,1,77,1,Wyeomyia,0
hawley,1999-06-15,4,80,1,Fletcherimyia,1
hawley,1999-06-15,4,80,1,Habrotrocha,0
hawley,1999-06-15,4,80,1,headcap,1
hawley,1999-06-15,4,80,1,Metriocnemus,1
hawley,1999-06-15,4,80,1,other,0
hawley,1999-06-15,4,80,1,rotvol ml,0.5
hawley,1999-06-15,4,80,1,Sarraceniopus,1
hawley,1999-06-15,4,80,1,volume ml,2
hawley,1999-06-15,4,80,1,Wyeomyia,0
hawley,1999-06-22,1,1,1,volume ml,0
hawley,1999-06-22,4,4,1,Fletcherimyia,0
hawley,1999-06-22,4,4,1,Habrotrocha,3
hawley,1999-06-22,4,4,1,headcap,10
hawley,1999-06-22,4,4,1,Metriocnemus,6
hawley,1999-06-22,4,4,1,other,0
hawley,1999-06-22,4,4,1,rotvol ml,0.5
hawley,1999-06-22,4,4,1,Sarraceniopus,1
hawley,1999-06-22,4,4,1,volume ml,5
hawley,1999-06-22,4,4,1,Wyeomyia,0
hawley,1999-06-22,1,5,1,Fletcherimyia,1
hawley,1999-06-22,1,5,1,Habrotrocha,0
hawley,1999-06-22,1,5,1,headcap,3
hawley,1999-06-22,1,5,1,Metriocnemus,0
hawley,1999-06-22,1,5,1,other,0
hawley,1999-06-22,1,5,1,rotvol ml,0.5
hawley,1999-06-22,1,5,1,Sarraceniopus,6
hawley,1999-06-22,1,5,1,volume ml,2
hawley,1999-06-22,1,5,1,Wyeomyia,0
hawley,1999-06-22,4,8,1,Fletcherimyia,0
hawley,1999-06-22,4,8,1,Habrotrocha,1
hawley,1999-06-22,4,8,1,headcap,0
hawley,1999-06-22,4,8,1,Metriocnemus,0
hawley,1999-06-22,4,8,1,other,0
hawley,1999-06-22,4,8,1,rotvol ml,0.5
hawley,1999-06-22,4,8,1,Sarraceniopus,0
hawley,1999-06-22,4,8,1,volume ml,1.4
hawley,1999-06-22,4,8,1,Wyeomyia,0
hawley,1999-06-22,1,9,1,Fletcherimyia,0
hawley,1999-06-22,1,9,1,Habrotrocha,0
hawley,1999-06-22,1,9,1,headcap,1
hawley,1999-06-22,1,9,1,Metriocnemus,0
hawley,1999-06-22,1,9,1,other,0
hawley,1999-06-22,1,9,1,rotvol ml,0.5
hawley,1999-06-22,1,9,1,Sarraceniopus,0
hawley,1999-06-22,1,9,1,volume ml,7
hawley,1999-06-22,1,9,1,Wyeomyia,0
hawley,1999-06-22,4,12,1,volume ml,0
hawley,1999-06-22,1,13,1,Fletcherimyia,0
hawley,1999-06-22,1,13,1,Habrotrocha,2
hawley,1999-06-22,1,13,1,headcap,6
hawley,1999-06-22,1,13,1,Metriocnemus,1
hawley,1999-06-22,1,13,1,other,0
hawley,1999-06-22,1,13,1,rotvol ml,0.5
hawley,1999-06-22,1,13,1,Sarraceniopus,0
hawley,1999-06-22,1,13,1,volume ml,2
hawley,1999-06-22,1,13,1,Wyeomyia,0
hawley,1999-06-22,4,16,1,Fletcherimyia,1
hawley,1999-06-22,4,16,1,Habrotrocha,0
hawley,1999-06-22,4,16,1,headcap,2
hawley,1999-06-22,4,16,1,Metriocnemus,0
hawley,1999-06-22,4,16,1,other,0
hawley,1999-06-22,4,16,1,rotvol ml,0.1
hawley,1999-06-22,4,16,1,Sarraceniopus,2
hawley,1999-06-22,4,16,1,volume ml,1
hawley,1999-06-22,4,16,1,Wyeomyia,0
hawley,1999-06-22,1,17,1,Fletcherimyia,0
hawley,1999-06-22,1,17,1,Habrotrocha,0
hawley,1999-06-22,1,17,1,headcap,1
hawley,1999-06-22,1,17,1,Metriocnemus,0
hawley,1999-06-22,1,17,1,other,0
hawley,1999-06-22,1,17,1,rotvol ml,0.1
hawley,1999-06-22,1,17,1,Sarraceniopus,1
hawley,1999-06-22,1,17,1,volume ml,2
hawley,1999-06-22,1,17,1,Wyeomyia,0
hawley,1999-06-22,4,20,1,Fletcherimyia,1
hawley,1999-06-22,4,20,1,Habrotrocha,0
hawley,1999-06-22,4,20,1,headcap,2
hawley,1999-06-22,4,20,1,Metriocnemus,0
hawley,1999-06-22,4,20,1,other,0
hawley,1999-06-22,4,20,1,rotvol ml,0.1
hawley,1999-06-22,4,20,1,Sarraceniopus,1
hawley,1999-06-22,4,20,1,volume ml,1
hawley,1999-06-22,4,20,1,Wyeomyia,0
hawley,1999-06-22,1,21,1,Fletcherimyia,0
hawley,1999-06-22,1,21,1,Habrotrocha,0
hawley,1999-06-22,1,21,1,headcap,0
hawley,1999-06-22,1,21,1,Metriocnemus,1
hawley,1999-06-22,1,21,1,other,0
hawley,1999-06-22,1,21,1,rotvol ml,0.1
hawley,1999-06-22,1,21,1,Sarraceniopus,0
hawley,1999-06-22,1,21,1,volume ml,0.5
hawley,1999-06-22,1,21,1,Wyeomyia,0
hawley,1999-06-22,4,24,1,Fletcherimyia,0
hawley,1999-06-22,4,24,1,Habrotrocha,0
hawley,1999-06-22,4,24,1,headcap,1
hawley,1999-06-22,4,24,1,Metriocnemus,0
hawley,1999-06-22,4,24,1,other,0
hawley,1999-06-22,4,24,1,rotvol ml,0.5
hawley,1999-06-22,4,24,1,Sarraceniopus,1
hawley,1999-06-22,4,24,1,volume ml,2
hawley,1999-06-22,4,24,1,Wyeomyia,0
hawley,1999-06-22,1,25,1,Fletcherimyia,1
hawley,1999-06-22,1,25,1,Habrotrocha,0
hawley,1999-06-22,1,25,1,headcap,8
hawley,1999-06-22,1,25,1,Metriocnemus,0
hawley,1999-06-22,1,25,1,other,0
hawley,1999-06-22,1,25,1,rotvol ml,2
hawley,1999-06-22,1,25,1,Sarraceniopus,0
hawley,1999-06-22,1,25,1,volume ml,0.4
hawley,1999-06-22,1,25,1,Wyeomyia,0
hawley,1999-06-22,4,28,1,Fletcherimyia,1
hawley,1999-06-22,4,28,1,Habrotrocha,2
hawley,1999-06-22,4,28,1,headcap,2
hawley,1999-06-22,4,28,1,Metriocnemus,0
hawley,1999-06-22,4,28,1,other,0
hawley,1999-06-22,4,28,1,rotvol ml,0.5
hawley,1999-06-22,4,28,1,Sarraceniopus,0
hawley,1999-06-22,4,28,1,volume ml,2
hawley,1999-06-22,4,28,1,Wyeomyia,0
hawley,1999-06-22,4,28,2,Fletcherimyia,0
hawley,1999-06-22,4,28,2,Habrotrocha,0
hawley,1999-06-22,4,28,2,headcap,4
hawley,1999-06-22,4,28,2,Metriocnemus,0
hawley,1999-06-22,4,28,2,other,0
hawley,1999-06-22,4,28,2,rotvol ml,0.25
hawley,1999-06-22,4,28,2,Sarraceniopus,0
hawley,1999-06-22,4,28,2,volume ml,2
hawley,1999-06-22,4,28,2,Wyeomyia,0
hawley,1999-06-22,1,29,1,Fletcherimyia,1
hawley,1999-06-22,1,29,1,Habrotrocha,0
hawley,1999-06-22,1,29,1,headcap,15
hawley,1999-06-22,1,29,1,Metriocnemus,0
hawley,1999-06-22,1,29,1,other,0
hawley,1999-06-22,1,29,1,rotvol ml,0.5
hawley,1999-06-22,1,29,1,Sarraceniopus,1
hawley,1999-06-22,1,29,1,volume ml,1.5
hawley,1999-06-22,1,29,1,Wyeomyia,0
hawley,1999-06-22,4,32,1,Fletcherimyia,0
hawley,1999-06-22,4,32,1,Habrotrocha,0
hawley,1999-06-22,4,32,1,headcap,7
hawley,1999-06-22,4,32,1,Metriocnemus,0
hawley,1999-06-22,4,32,1,other,0
hawley,1999-06-22,4,32,1,rotvol ml,0.25
hawley,1999-06-22,4,32,1,Sarraceniopus,3
hawley,1999-06-22,4,32,1,volume ml,2
hawley,1999-06-22,4,32,1,Wyeomyia,0
hawley,1999-06-22,1,33,1,Fletcherimyia,0
hawley,1999-06-22,1,33,1,Habrotrocha,0
hawley,1999-06-22,1,33,1,headcap,3
hawley,1999-06-22,1,33,1,Metriocnemus,0
hawley,1999-06-22,1,33,1,other,0
hawley,1999-06-22,1,33,1,rotvol ml,0.1
hawley,1999-06-22,1,33,1,Sarraceniopus,2
hawley,1999-06-22,1,33,1,volume ml,1
hawley,1999-06-22,1,33,1,Wyeomyia,0
hawley,1999-06-22,4,36,1,Fletcherimyia,0
hawley,1999-06-22,4,36,1,Habrotrocha,0
hawley,1999-06-22,4,36,1,headcap,1
hawley,1999-06-22,4,36,1,Metriocnemus,0
hawley,1999-06-22,4,36,1,other,0
hawley,1999-06-22,4,36,1,rotvol ml,0.1
hawley,1999-06-22,4,36,1,Sarraceniopus,1
hawley,1999-06-22,4,36,1,volume ml,0.5
hawley,1999-06-22,4,36,1,Wyeomyia,0
hawley,1999-06-22,4,40,1,Fletcherimyia,0
hawley,1999-06-22,4,40,1,Habrotrocha,0
hawley,1999-06-22,4,40,1,headcap,1
hawley,1999-06-22,4,40,1,Metriocnemus,1
hawley,1999-06-22,4,40,1,other,0
hawley,1999-06-22,4,40,1,rotvol ml,0
hawley,1999-06-22,4,40,1,Sarraceniopus,2
hawley,1999-06-22,4,40,1,volume ml,2
hawley,1999-06-22,4,40,1,Wyeomyia,0
hawley,1999-06-22,4,40,2,Fletcherimyia,0
hawley,1999-06-22,4,40,2,Habrotrocha,0
hawley,1999-06-22,4,40,2,headcap,1
hawley,1999-06-22,4,40,2,Metriocnemus,1
hawley,1999-06-22,4,40,2,other,0
hawley,1999-06-22,4,40,2,rotvol ml,0.1
hawley,1999-06-22,4,40,2,Sarraceniopus,0
hawley,1999-06-22,4,40,2,volume ml,2
hawley,1999-06-22,4,40,2,Wyeomyia,0
hawley,1999-06-22,1,41,1,Fletcherimyia,0
hawley,1999-06-22,1,41,1,Habrotrocha,5
hawley,1999-06-22,1,41,1,headcap,1
hawley,1999-06-22,1,41,1,Metriocnemus,1
hawley,1999-06-22,1,41,1,other,0
hawley,1999-06-22,1,41,1,rotvol ml,0.1
hawley,1999-06-22,1,41,1,Sarraceniopus,1
hawley,1999-06-22,1,41,1,volume ml,0.3
hawley,1999-06-22,1,41,1,Wyeomyia,0
hawley,1999-06-22,1,45,1,Fletcherimyia,0
hawley,1999-06-22,1,45,1,Habrotrocha,0
hawley,1999-06-22,1,45,1,headcap,3
hawley,1999-06-22,1,45,1,Metriocnemus,0
hawley,1999-06-22,1,45,1,other,0
hawley,1999-06-22,1,45,1,rotvol ml,0
hawley,1999-06-22,1,45,1,Sarraceniopus,0
hawley,1999-06-22,1,45,1,volume ml,0
hawley,1999-06-22,1,45,1,Wyeomyia,0
hawley,1999-06-22,4,48,1,Fletcherimyia,0
hawley,1999-06-22,4,48,1,Habrotrocha,0
hawley,1999-06-22,4,48,1,headcap,1
hawley,1999-06-22,4,48,1,Metriocnemus,0
hawley,1999-06-22,4,48,1,other,0
hawley,1999-06-22,4,48,1,rotvol ml,0.25
hawley,1999-06-22,4,48,1,Sarraceniopus,0
hawley,1999-06-22,4,48,1,volume ml,2
hawley,1999-06-22,4,48,1,Wyeomyia,0
hawley,1999-06-22,1,49,1,Fletcherimyia,0
hawley,1999-06-22,1,49,1,Habrotrocha,1
hawley,1999-06-22,1,49,1,headcap,1
hawley,1999-06-22,1,49,1,Metriocnemus,0
hawley,1999-06-22,1,49,1,other,0
hawley,1999-06-22,1,49,1,rotvol ml,0.25
hawley,1999-06-22,1,49,1,Sarraceniopus,5
hawley,1999-06-22,1,49,1,volume ml,0.5
hawley,1999-06-22,1,49,1,Wyeomyia,0
hawley,1999-06-22,4,52,1,Fletcherimyia,1
hawley,1999-06-22,4,52,1,Habrotrocha,0
hawley,1999-06-22,4,52,1,headcap,2
hawley,1999-06-22,4,52,1,Metriocnemus,0
hawley,1999-06-22,4,52,1,other,0
hawley,1999-06-22,4,52,1,rotvol ml,0.25
hawley,1999-06-22,4,52,1,Sarraceniopus,2
hawley,1999-06-22,4,52,1,volume ml,2
hawley,1999-06-22,4,52,1,Wyeomyia,0
hawley,1999-06-22,1,53,1,Fletcherimyia,0
hawley,1999-06-22,1,53,1,Habrotrocha,0
hawley,1999-06-22,1,53,1,headcap,4
hawley,1999-06-22,1,53,1,Metriocnemus,0
hawley,1999-06-22,1,53,1,other,0
hawley,1999-06-22,1,53,1,rotvol ml,0.25
hawley,1999-06-22,1,53,1,Sarraceniopus,1
hawley,1999-06-22,1,53,1,volume ml,0.5
hawley,1999-06-22,1,53,1,Wyeomyia,0
hawley,1999-06-22,4,56,1,Fletcherimyia,0
hawley,1999-06-22,4,56,1,Habrotrocha,0
hawley,1999-06-22,4,56,1,headcap,4
hawley,1999-06-22,4,56,1,Metriocnemus,1
hawley,1999-06-22,4,56,1,other,0
hawley,1999-06-22,4,56,1,rotvol ml,0.25
hawley,1999-06-22,4,56,1,Sarraceniopus,0
hawley,1999-06-22,4,56,1,volume ml,2
hawley,1999-06-22,4,56,1,Wyeomyia,0
hawley,1999-06-22,1,57,1,Fletcherimyia,0
hawley,1999-06-22,1,57,1,Habrotrocha,0
hawley,1999-06-22,1,57,1,headcap,2
hawley,1999-06-22,1,57,1,Metriocnemus,0
hawley,1999-06-22,1,57,1,other,0
hawley,1999-06-22,1,57,1,rotvol ml,0.25
